wire_width,no_magnets,effective_mass,muSc,alpha,M,added_sinu,ratio,conductance_data_filename,spectrum_data_filename,conductance_figure_filename,spectrum_figure_filename,individual_conductance_figure_filename,spectrum_critical_field,conductance_critical_field
7,7,0.5,0.22,0.0,0.1,True,0.2,data/cond/cond_w7_no7_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.20.dat,data/spec/spec_w7_no7_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.20.dat,data/fig-conductance/modelw7_no7_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.20.png,data/fig-spectrum/modelw7_no7_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.20.png,data/fig-ind-conductance/modelw7_no7_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.20.png,0.1,0.105
7,7,0.5,0.22,0.0,0.1,True,0.25,data/cond/cond_w7_no7_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.25.dat,data/spec/spec_w7_no7_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.25.dat,data/fig-conductance/modelw7_no7_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.25.png,data/fig-spectrum/modelw7_no7_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.25.png,data/fig-ind-conductance/modelw7_no7_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.25.png,0.095,0.095
7,7,0.5,0.22,0.0,0.1,True,0.3,data/cond/cond_w7_no7_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.30.dat,data/spec/spec_w7_no7_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.30.dat,data/fig-conductance/modelw7_no7_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.30.png,data/fig-spectrum/modelw7_no7_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.30.png,data/fig-ind-conductance/modelw7_no7_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.30.png,0.09,0.095
7,7,0.5,0.22,0.0,0.1,True,0.35,data/cond/cond_w7_no7_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.35.dat,data/spec/spec_w7_no7_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.35.dat,data/fig-conductance/modelw7_no7_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.35.png,data/fig-spectrum/modelw7_no7_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.35.png,data/fig-ind-conductance/modelw7_no7_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.35.png,0.085,0.09
7,7,0.5,0.22,0.0,0.1,True,0.4,data/cond/cond_w7_no7_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.40.dat,data/spec/spec_w7_no7_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.40.dat,data/fig-conductance/modelw7_no7_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.40.png,data/fig-spectrum/modelw7_no7_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.40.png,data/fig-ind-conductance/modelw7_no7_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.40.png,0.08,0.085
7,7,0.5,0.22,0.0,0.1,True,0.45,data/cond/cond_w7_no7_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.45.dat,data/spec/spec_w7_no7_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.45.dat,data/fig-conductance/modelw7_no7_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.45.png,data/fig-spectrum/modelw7_no7_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.45.png,data/fig-ind-conductance/modelw7_no7_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.45.png,0.075,0.0
7,8,0.5,0.22,0.0,0.1,True,0.2,data/cond/cond_w7_no8_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.20.dat,data/spec/spec_w7_no8_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.20.dat,data/fig-conductance/modelw7_no8_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.20.png,data/fig-spectrum/modelw7_no8_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.20.png,data/fig-ind-conductance/modelw7_no8_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.20.png,0.105,0.115
7,8,0.5,0.22,0.0,0.1,True,0.25,data/cond/cond_w7_no8_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.25.dat,data/spec/spec_w7_no8_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.25.dat,data/fig-conductance/modelw7_no8_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.25.png,data/fig-spectrum/modelw7_no8_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.25.png,data/fig-ind-conductance/modelw7_no8_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.25.png,0.095,0.105
7,8,0.5,0.22,0.0,0.1,True,0.3,data/cond/cond_w7_no8_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.30.dat,data/spec/spec_w7_no8_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.30.dat,data/fig-conductance/modelw7_no8_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.30.png,data/fig-spectrum/modelw7_no8_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.30.png,data/fig-ind-conductance/modelw7_no8_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.30.png,0.095,0.11
7,8,0.5,0.22,0.0,0.1,True,0.35,data/cond/cond_w7_no8_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.35.dat,data/spec/spec_w7_no8_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.35.dat,data/fig-conductance/modelw7_no8_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.35.png,data/fig-spectrum/modelw7_no8_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.35.png,data/fig-ind-conductance/modelw7_no8_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.35.png,0.085,0.0
7,8,0.5,0.22,0.0,0.1,True,0.4,data/cond/cond_w7_no8_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.40.dat,data/spec/spec_w7_no8_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.40.dat,data/fig-conductance/modelw7_no8_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.40.png,data/fig-spectrum/modelw7_no8_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.40.png,data/fig-ind-conductance/modelw7_no8_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.40.png,0.085,0.0
7,8,0.5,0.22,0.0,0.1,True,0.45,data/cond/cond_w7_no8_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.45.dat,data/spec/spec_w7_no8_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.45.dat,data/fig-conductance/modelw7_no8_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.45.png,data/fig-spectrum/modelw7_no8_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.45.png,data/fig-ind-conductance/modelw7_no8_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.45.png,0.075,0.0
7,9,0.5,0.22,0.0,0.1,True,0.2,data/cond/cond_w7_no9_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.20.dat,data/spec/spec_w7_no9_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.20.dat,data/fig-conductance/modelw7_no9_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.20.png,data/fig-spectrum/modelw7_no9_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.20.png,data/fig-ind-conductance/modelw7_no9_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.20.png,0.1,0.105
7,9,0.5,0.22,0.0,0.1,True,0.25,data/cond/cond_w7_no9_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.25.dat,data/spec/spec_w7_no9_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.25.dat,data/fig-conductance/modelw7_no9_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.25.png,data/fig-spectrum/modelw7_no9_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.25.png,data/fig-ind-conductance/modelw7_no9_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.25.png,0.095,0.095
7,9,0.5,0.22,0.0,0.1,True,0.3,data/cond/cond_w7_no9_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.30.dat,data/spec/spec_w7_no9_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.30.dat,data/fig-conductance/modelw7_no9_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.30.png,data/fig-spectrum/modelw7_no9_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.30.png,data/fig-ind-conductance/modelw7_no9_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.30.png,0.09,0.095
7,9,0.5,0.22,0.0,0.1,True,0.35,data/cond/cond_w7_no9_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.35.dat,data/spec/spec_w7_no9_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.35.dat,data/fig-conductance/modelw7_no9_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.35.png,data/fig-spectrum/modelw7_no9_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.35.png,data/fig-ind-conductance/modelw7_no9_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.35.png,0.08,0.09
7,9,0.5,0.22,0.0,0.1,True,0.4,data/cond/cond_w7_no9_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.40.dat,data/spec/spec_w7_no9_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.40.dat,data/fig-conductance/modelw7_no9_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.40.png,data/fig-spectrum/modelw7_no9_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.40.png,data/fig-ind-conductance/modelw7_no9_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.40.png,0.075,0.085
7,9,0.5,0.22,0.0,0.1,True,0.44999999999999996,data/cond/cond_w7_no9_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.45.dat,data/spec/spec_w7_no9_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.45.dat,data/fig-conductance/modelw7_no9_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.45.png,data/fig-spectrum/modelw7_no9_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.45.png,data/fig-ind-conductance/modelw7_no9_eM0.50_mu0.22_al0.0_M0.10_added1_ratio0.45.png,0.07,0.085
