X,v,u
40,0.0050334688276052475,-0.044732097536325455
41,0.012586083263158798,-0.04360190033912659
42,0.01973940245807171,-0.04139384627342224
43,0.026209549978375435,-0.038204625248909
44,0.031735584139823914,-0.0342271588742733
45,0.036141954362392426,-0.02974512241780758
46,0.03938472270965576,-0.025078928098082542
47,0.04154970869421959,-0.02051415853202343
48,0.042808305472135544,-0.016252554953098297
49,0.043362922966480255,-0.01240147091448307
50,0.0434054397046566,-0.008990300819277763
51,0.04309622943401337,-0.005996093153953552
52,0.04255791753530502,-0.003366400022059679
53,0.04187801852822304,-0.0010356754064559937
54,0.04111398756504059,0.0010649384930729866
55,0.040299199521541595,0.003002325538545847
56,0.039447203278541565,0.004839036148041487
57,0.0385550931096077,0.006632399279624224
58,0.03760497644543648,0.008434118703007698
59,0.036564528942108154,0.010289299301803112
60,0.03538636863231659,0.012234009802341461
61,0.034008197486400604,0.014290758408606052
62,0.03235407546162605,0.01646079495549202
63,0.03034103661775589,0.01871427334845066
64,0.02789284661412239,0.020980292931199074
65,0.024964094161987305,0.023144658654928207
66,0.021568194031715393,0.025064559653401375
67,0.01779516413807869,0.026606742292642593
68,0.013797330670058727,0.027697261422872543
69,0.009738568216562271,0.028352685272693634
70,0.0057315099984407425,0.02866540104150772
71,0.0018030228093266487,0.028749190270900726
72,-0.0020945165306329727,0.028677787631750107
73,-0.00603667926043272,0.028447920456528664
74,-0.01006900705397129,0.02797972783446312
75,-0.014161299914121628,0.027155032381415367
76,-0.018197564408183098,0.025878647342324257
77,-0.02201191708445549,0.02413235232234001
78,-0.025451499968767166,0.021987726911902428
79,-0.028426961973309517,0.019573934376239777
80,-0.030925266444683075,0.017026826739311218
81,-0.03299098461866379,0.014450966380536556
82,-0.03469690680503845,0.011904681101441383
83,-0.03611953929066658,0.009402620606124401
84,-0.037323661148548126,0.006925156340003014
85,-0.03835448622703552,0.004428635351359844
86,-0.03923345357179642,0.0018531361129134893
87,-0.03995547443628311,-0.0008715222356840968
88,-0.04048529267311096,-0.0038203357253223658
89,-0.040753304958343506,-0.0070662591606378555
90,-0.04065103828907013,-0.01066967099905014
91,-0.04002973437309265,-0.014661749824881554
92,-0.03870638459920883,-0.019021499902009964
93,-0.03648543357849121,-0.02365018054842949
94,-0.03319976106286049,-0.02835448645055294
95,-0.02876570075750351,-0.03285696357488632
96,-0.02322712540626526,-0.036844417452812195
97,-0.016757838428020477,-0.040039218962192535
98,-0.009615683928132057,-0.04225283861160278
99,-0.002080818871036172,-0.043391428887844086